blind_pair_id,period_end,quarter,left_ticker,right_ticker,left_identifier,right_identifier,left_borrower_norm,right_borrower_norm,left_debt_equity,right_debt_equity,left_facility_type,right_facility_type,left_lien,right_lien,left_currency,right_currency,left_reference_rate,right_reference_rate,left_spread,right_spread,left_maturity,right_maturity,left_funded_status,right_funded_status,left_acquisition_date,right_acquisition_date,manual_label,label_notes
BF2_86dd6c439806c29ed67ffd,2025-06-30,2025Q2,ARCC,GBDC,"North Haven Stack Buyer, LLC, First lien senior secured loan 7","North Haven Stack Buyer, LLC, Second lien 1",north haven stack buyer,north haven stack buyer,debt,debt,other_debt,other_debt,first_lien,second_lien,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0.0475,,,,funded,funded,,,,
BF2_ca4b420a2d8a3b9e07a701,2025-03-31,2025Q1,NMFC,ARCC,"Wealth Enhancement Group, LLC, First lien 3","Wealth Enhancement Group, LLC, First lien senior secured loan 2",wealth enhancement,wealth enhancement,debt,debt,other_debt,other_debt,first_lien,first_lien,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0.05,0.05,,,funded,funded,,,,
BF2_76a54f794491c9d82fa006,2025-06-30,2025Q2,NMFC,OCIC,"Xplor T1, LLC, First Lien - Funded | Xplor T1, LLC, First lien - Funded","XPLOR T1, LLC, First lien senior secured loan",xplor t1,xplor t1,debt,debt,other_debt,other_debt,first_lien,first_lien,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0.035,0.035,,,funded,funded,,,,
BF2_d3f7ab837764d94e4b7ad7,2025-03-31,2025Q1,NMFC,OCIC,"PDI TA Holdings, Inc., First lien 2","PDI TA Holdings, Inc., First lien senior secured loan",pdi ta,pdi ta,debt,debt,other_debt,other_debt,first_lien,first_lien,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0.055,0.055,,,funded,funded,,,,
BF2_b620797d3230221c056dc3,2024-09-30,2024Q3,ARCC,OCIC,"Avalara, Inc., First lien senior secured loan","Avalara, Inc., First lien senior secured loan",avalara,avalara,debt,debt,other_debt,other_debt,first_lien,first_lien,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0.0625,0.0625,,,funded,funded,,,,
BF2_48550b8c7ffc988392191f,2024-06-30,2024Q2,NMFC,ASIF,"Bleriot US Bidco Inc., First lien - Funded","Bleriot US Bidco Inc., First lien senior secured loan",bleriot us bidco,bleriot us bidco,debt,debt,other_debt,other_debt,first_lien,first_lien,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0.0325,0.0325,,,funded,funded,,,,
BF2_32569ca1a52309578a3e67,2024-09-30,2024Q3,OCIC,OBDC,"Global Music Rights, LLC, First lien senior secured loan","Global Music Rights, LLC, First lien senior secured revolving loan",global music rights,global music rights,debt,debt,other_debt,revolver,first_lien,first_lien,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0.055,0.055,,,funded,funded,,,,
BF2_523e41006de25cad9fbe35,2024-03-31,2024Q1,GBDC,OCIC,"Integrity Marketing Acquisition, LLC, Senior secured 3","Integrity Marketing Acquisition, LLC, First lien senior secured loan 3",integrity marketing acquisition,integrity marketing acquisition,debt,debt,other_debt,other_debt,secured_unspecified,first_lien,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0.058,0.06,,,funded,funded,,,,
BF2_d7766c093e694f8ecbb9a8,2024-03-31,2024Q1,OBDC,OCIC,"Mario Purchaser, LLC (dba Len the Plumber), First lien senior secured revolving loan","Mario Purchaser, LLC (dba Len the Plumber), First lien senior secured loan",mario purchaser dba len the plumber,mario purchaser dba len the plumber,debt,debt,revolver,other_debt,first_lien,first_lien,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0.0575,0.0575,,,funded,funded,,,,
BF2_20a32965a66313d2a5540a,2024-06-30,2024Q2,NMFC,HPS,"Calabrio, Inc., First lien 1","Calabrio, Inc. 2",calabrio,calabrio,debt,unknown,other_debt,unknown,first_lien,unknown,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0.0713,0.0713,,,funded,funded,,,,
BF2_ea3448baa3bb98767e821a,2024-03-31,2024Q1,OCSL,OCIC,"Asurion, LLC, First Lien Term Loan 2","Asurion, LLC, Second lien senior secured loan 2",asurion,asurion,debt,debt,term_loan,other_debt,first_lien,second_lien,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0.0425,0.0525,,,funded,funded,,,,
BF2_e88be2fe62633110ea4b1c,2025-09-30,2025Q3,BCRED,BXSL,"Odevo, AB 6","Odevo, AB 5",odevo ab,odevo ab,unknown,unknown,unknown,unknown,unknown,unknown,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0.055,0.055,,,funded,funded,,,,
BF2_32062e6ba062288c0d1c76,2025-03-31,2025Q1,ASIF,ARCC,"Worldwide Produce Acquisition, LLC and REP WWP Coinvest IV, L.P., First lien senior secured loan","Worldwide Produce Acquisition, LLC and REP WWP Coinvest IV, L.P., First lien senior secured loan",worldwide produce acquisition and rep wwp coinvest iv,worldwide produce acquisition and rep wwp coinvest iv,debt,debt,other_debt,other_debt,first_lien,first_lien,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0.0675,0.0675,,,funded,funded,,,,
